connectorID,X,Y,Z,skeletonID,distribution
5506523,415063,231921,151680,1316949,Lateral
5506518,414489,232082,150960,4030800,AnteriorMedialLateral
8463178,414326,231760,150960,7965581,AnteriorMedialLateral
25664882,433331,233194,152280,4947529,AnteriorMedialLateral
10619380,430677,235185,150000,867786,Lateral
26066724,430455,236282,150880,8026970,Lateral
25878455,422111,238596,134280,4030800,AnteriorMedialLateral
9456215,422499,231462,141600,1324080,AnteriorLateralSoma
8116362,433210,228497,136320,1316756,AnteriorMedialLateral
9455580,421080,238741,138840,1199468,AnteriorLateralSoma
25433192,437016,231061,145720,1060195,Lateral
9455498,420524,238670,139040,1199468,AnteriorLateralSoma
9455190,418805,240299,140320,4034601,AnteriorMedialLateralSoma
16440935,422118,232146,157920,1325025,Lateral
9436677,422012,232118,157920,1326385,Lateral
9436386,432528,229527,148640,1326385,Lateral
9432930,425329,229376,153320,8498937,Lateral
9332819,424664,232143,150840,4512909,AnteriorLateralSoma
9318267,432303,230596,148200,1326006,MedialLateral
9317982,428213,232211,149560,1325500,Lateral
9291110,428785,234727,154720,1060274,Lateral
9291021,428629,235062,154600,4947529,Lateral
9291006,428427,234715,154720,1060274,Lateral
9290927,428106,234721,154680,4034601,AnteriorMedialLateralSoma
14679026,428153,235062,154480,1077585,Lateral
9290792,428109,234868,154200,4947529,Lateral
9290789,428562,234890,154120,1060274,Lateral
9290750,427793,234914,153920,1108134,Lateral
9290729,427634,234899,153720,1108134,Lateral
9290697,427850,235115,153560,1060274,Lateral
24882298,427722,234783,153040,7138957,Lateral
9290675,427430,235094,153240,4947529,Lateral
10643385,413129,234046,153000,872672,Lateral
14955823,412792,233824,153120,874416,AnteriorLateralSoma
10896148,411276,234987,154400,1325500,Lateral
9290171,411060,235160,154360,1316847,Lateral
9290090,411277,234750,154200,1320017,Lateral
9290117,411041,235222,154200,3815708,Lateral
9290059,411304,235211,154120,4947529,Lateral
9523553,411169,235212,154000,3815708,Lateral
9289998,411525,234690,153960,1060221,Lateral
7546736,442664,226622,138760,1316815,MedialLateral
9518259,411996,234014,153640,4947529,MedialLateral
9289868,411985,233053,153560,1320161,Lateral
25313719,411890,232962,153560,874195,Lateral
9289779,413104,233997,153280,2909976,Lateral
14955932,412598,233883,153520,1326615,Lateral
9289714,411309,233679,153320,1316929,Lateral
9289616,410637,234417,153560,1316672,Lateral
9289933,411276,233945,153600,1320017,Lateral
9511068,411755,232945,153360,2909715,Lateral
9522659,412150,233154,153440,1320161,Lateral
14949413,411966,233648,153520,5994549,Lateral
9289601,410767,234569,153440,1316547,Lateral
14955836,410733,234249,153320,1316593,Lateral
9289593,410913,234482,153400,6107965,Lateral
9289583,410595,234306,153360,1319623,Lateral
9518184,412258,234050,153440,1060221,Lateral
14955961,412980,234269,153400,3262288,Lateral
10643459,412572,234194,153120,4947529,Lateral
14974499,412493,233673,153280,874416,AnteriorLateralSoma
9289799,411236,233782,153280,1316599,Lateral
14956033,412088,233349,153160,2909715,Lateral
14956018,411866,233455,153160,1316929,Lateral
14956044,411675,233655,153000,1316929,Lateral
25313906,411515,234008,152960,1316593,Lateral
14956058,411805,234009,152840,3206540,Lateral
14949363,411475,233410,152600,1316605,Lateral
9289331,411666,233769,152560,1316593,Lateral
9289351,411732,233355,152520,2909715,Lateral
9289315,411283,233758,152400,1316593,Lateral
9289264,411245,233290,152400,1144604,Lateral
9289034,411126,233405,152160,1143611,Lateral
14949348,411127,233389,152040,1316684,Lateral
9288981,411253,233739,151840,1317004,Lateral
9288939,411558,233231,151600,1316593,Lateral
9288563,423347,229760,138840,874165,AnteriorMedialLateral
9288586,423687,229739,138760,1324080,AnteriorLateralSoma
9288369,424823,228471,138960,7890957,AnteriorLateralSoma
9481853,424819,228877,138840,1199468,AnteriorLateralSoma
9288473,424440,228870,138920,4030800,AnteriorMedialLateral
9288320,425132,228685,138920,1199468,AnteriorLateralSoma
9288200,425381,228452,139200,2909578,AnteriorMedialLateral
9288150,424935,228761,139240,2858438,AnteriorLateral
9288163,425320,229066,139240,2858438,AnteriorLateral
9288140,425535,228753,139240,874416,AnteriorLateralSoma
9288012,425896,228685,139760,1209950,MedialLateralSoma
9287931,425528,228803,139920,4034601,AnteriorMedialLateralSoma
25705246,425613,229282,139960,7890852,AnteriorMedialLateralSoma
9253652,423396,235639,153920,1325820,Lateral
9252170,430760,232515,144880,4030800,AnteriorMedialLateral
9252003,429983,232123,146880,4030800,AnteriorMedialLateral
21085739,429080,231627,148680,4947529,AnteriorMedialLateral
9239124,428578,232276,148680,1325592,Lateral
9239016,428004,231672,149440,1325592,Lateral
9607228,435685,233923,137080,1060221,Lateral
9607305,435270,234417,137240,2980141,Lateral
