,AL_L,AL_R,AME_L,AMMC_L,AMMC_R,AOTU_R,ATL_L,ATL_R,AVLP_L,AVLP_R,BU_R,CAN_L,CAN_R,CRE_L,CRE_R,EB,EPA_L,EPA_R,FB,FLA_L,FLA_R,GA_L,GA_R,GCI,GNG,GOR_L,GOR_R,IB_L,IB_R,ICL_L,ICL_R,IPS_L,IPS_R,JONeuron,LAL_L,LAL_R,LH_L,LH_R,LOP_R,LO_L,LO_R,LPLC2,MB_CA_L,MB_ML_L,MB_ML_R,MB_PED_L,MB_PED_R,MB_VL_R,MB_whole_L,MB_whole_R,ME_L,ME_R,NO,PB,PLP_L,PLP_R,PRW,PVLP_L,PVLP_R,SAD,SCL_L,SCL_R,SIP_L,SIP_R,SLP_L,SLP_R,SMP_L,SMP_R,SPS_L,SPS_R,Unclassified GF input neuron - Ascending,Unclassified GF input neuron - Descending,Unclassified GF input neuron - Fragment,Unclassified GF input neuron - ocelli,Unclassified GF input neuron - octopi,Unclassified GF input neuron - shared,Unclassified GF input neuron - type 1,Unclassified GF input neuron - type 10,Unclassified GF input neuron - type 100,Unclassified GF input neuron - type 101,Unclassified GF input neuron - type 11,Unclassified GF input neuron - type 12,Unclassified GF input neuron - type 13,Unclassified GF input neuron - type 13b,Unclassified GF input neuron - type 13c,Unclassified GF input neuron - type 14,Unclassified GF input neuron - type 15,Unclassified GF input neuron - type 16,Unclassified GF input neuron - type 17,Unclassified GF input neuron - type 18,Unclassified GF input neuron - type 19,Unclassified GF input neuron - type 20,Unclassified GF input neuron - type 21a,Unclassified GF input neuron - type 21b,Unclassified GF input neuron - type 22,Unclassified GF input neuron - type 22b,Unclassified GF input neuron - type 23a,Unclassified GF input neuron - type 23b,Unclassified GF input neuron - type 24a,Unclassified GF input neuron - type 24b,Unclassified GF input neuron - type 24c,Unclassified GF input neuron - type 24d,Unclassified GF input neuron - type 24e,Unclassified GF input neuron - type 25,Unclassified GF input neuron - type 26,Unclassified GF input neuron - type 27a,Unclassified GF input neuron - type 27b,Unclassified GF input neuron - type 28,Unclassified GF input neuron - type 29,Unclassified GF input neuron - type 2a,Unclassified GF input neuron - type 2b,Unclassified GF input neuron - type 3,Unclassified GF input neuron - type 30,Unclassified GF input neuron - type 31,Unclassified GF input neuron - type 32,Unclassified GF input neuron - type 33,Unclassified GF input neuron - type 34,Unclassified GF input neuron - type 35,Unclassified GF input neuron - type 36,Unclassified GF input neuron - type 39,Unclassified GF input neuron - type 4,Unclassified GF input neuron - type 40,Unclassified GF input neuron - type 41,Unclassified GF input neuron - type 42,Unclassified GF input neuron - type 43,Unclassified GF input neuron - type 45,Unclassified GF input neuron - type 46,Unclassified GF input neuron - type 47,Unclassified GF input neuron - type 49,Unclassified GF input neuron - type 5,Unclassified GF input neuron - type 50,Unclassified GF input neuron - type 51,Unclassified GF input neuron - type 52,Unclassified GF input neuron - type 53,Unclassified GF input neuron - type 54,Unclassified GF input neuron - type 55,Unclassified GF input neuron - type 56,Unclassified GF input neuron - type 57,Unclassified GF input neuron - type 58,Unclassified GF input neuron - type 59,Unclassified GF input neuron - type 6,Unclassified GF input neuron - type 60,Unclassified GF input neuron - type 61,Unclassified GF input neuron - type 61b,Unclassified GF input neuron - type 62,Unclassified GF input neuron - type 62b,Unclassified GF input neuron - type 63,Unclassified GF input neuron - type 64a,Unclassified GF input neuron - type 64b,Unclassified GF input neuron - type 65,Unclassified GF input neuron - type 66a,Unclassified GF input neuron - type 66b,Unclassified GF input neuron - type 67,Unclassified GF input neuron - type 68,Unclassified GF input neuron - type 69,Unclassified GF input neuron - type 7,Unclassified GF input neuron - type 70,Unclassified GF input neuron - type 71,Unclassified GF input neuron - type 72a,Unclassified GF input neuron - type 72b,Unclassified GF input neuron - type 73,Unclassified GF input neuron - type 74,Unclassified GF input neuron - type 75,Unclassified GF input neuron - type 76,Unclassified GF input neuron - type 77,Unclassified GF input neuron - type 78,Unclassified GF input neuron - type 79,Unclassified GF input neuron - type 8,Unclassified GF input neuron - type 80,Unclassified GF input neuron - type 81,Unclassified GF input neuron - type 82,Unclassified GF input neuron - type 83,Unclassified GF input neuron - type 84,Unclassified GF input neuron - type 85,Unclassified GF input neuron - type 86,Unclassified GF input neuron - type 87,Unclassified GF input neuron - type 88,Unclassified GF input neuron - type 89,Unclassified GF input neuron - type 9,Unclassified GF input neuron - type 90,Unclassified GF input neuron - type 91,Unclassified GF input neuron - type 92,Unclassified GF input neuron - type 93,Unclassified GF input neuron - type 94,Unclassified GF input neuron - type 95,Unclassified GF input neuron - type 96,Unclassified GF input neuron - type 97,Unclassified GF input neuron - type 98,Unclassified GF input neuron - type 99,VES_L,VES_R,WED_L,WED_R,aIP type 2b,putative DNp06,putative LC4 neuron
0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,108.0,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0,22.0,2.0,1.0,13.0,8.0,8.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,6.0,2.0,11.0,5.0,5.0,5.0,4.0,7.0,2.0,2.0,2.0,3.0,16.0,5.0,3.0,2.0,14.0,7.0,2.0,6.0,7.0,6.0,3.0,6.0,9.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,13.0,2.0,9.0,2.0,2.0,2.0,5.0,3.0,2.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,55.0
1,9.0,56.0,2.0,43.0,324.0,13.0,5.0,20.0,92.0,227.0,1.0,16.0,22.0,1.0,4.0,4.0,69.0,173.0,48.0,8.0,26.0,15.0,1.0,,191.0,97.0,202.0,74.0,65.0,63.0,147.0,27.0,99.0,,39.0,71.0,1.0,12.0,109.0,2.0,165.0,,1.0,3.0,2.0,6.0,24.0,1.0,10.0,26.0,2.0,23.0,12.0,5.0,63.0,275.0,2.0,120.0,432.0,365.0,6.0,50.0,1.0,19.0,3.0,27.0,14.0,32.0,175.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,141.0,75.0,329.0,,,
