,bodyid,type
384,1717208400,LC18
385,1688195081,
386,1838257401,LC4
387,1136835557,
388,979519562,
389,2656850769,
390,327838570,
391,2337596478,
392,1871342988,
393,5813023101,JO-A/B/C
394,1438304573,LC13
395,1448591766,
396,5812997054,LLPC2c
397,1785502810,
398,1449486007,
399,2591374832,
400,982011040,
401,1039807051,
402,1316375063,
403,1357774525,
404,1020608279,
405,5813020136,
406,2187648590,
407,612742298,
408,1995123997,
409,1619958675,
410,5813008197,JO-A/B/C
411,1012116876,
412,5813107445,LC12
413,1198580741,
414,1261768644,R3a
415,1505010940,
416,2058588317,
417,1722670598,
418,1226084614,LC10
419,1817108009,LC17
420,1509966560,
421,2467801244,
422,1102898975,
423,5812988820,
424,1997528788,
425,637475264,
426,1534458003,
427,1790973019,
428,2063111800,
429,798317786,
430,2276541290,
431,5813055298,
432,2502012626,
433,1810641092,
434,5812995899,
435,2502724878,
436,1314695867,
437,1655479310,LC18
438,2476456081,
439,2436554350,
440,977223393,
441,5812995875,
442,2159938376,
443,2285118496,
444,2407604196,
445,5813083315,
446,2284751048,
447,1809941662,
448,2057219041,
449,2316468086,
450,1591682839,
451,1316974821,
452,674001478,
453,2150643795,
454,1352315133,
455,1447451704,
456,1757797015,
457,1319927977,
458,1043701007,
459,1500249381,
460,1504086607,LC21
461,2025143847,
462,2468962240,
463,5812986051,
464,1412670439,
465,1528896615,
466,769605178,
467,5812999183,
468,486876782,
469,1469918192,
470,1290943306,
471,1664363803,
472,1043298586,
473,2442028052,
474,1470573563,
475,5813015973,
476,1471601440,LC4
477,5813008194,
478,828800065,
479,2244452458,
480,5813001613,
481,1376800240,LC12
482,1283030754,
483,1099389583,
484,5813004479,
485,1658640107,
486,635878327,
487,1605786832,
488,1136407269,
489,1668443473,
490,1014733888,
491,5813040037,
492,1624738441,
493,450004338,
494,1506440282,
495,2127892670,
496,2026828660,
497,760566746,
498,2444043947,
499,1223848354,
500,1160069551,
501,1478142566,
502,1375803467,
503,2039865821,
504,1471607030,LC17
505,5813041426,
506,481359062,
507,2128562448,
508,2535465114,
509,296535655,
510,1499160969,
511,1600334745,
512,915549815,
513,851961337,
514,1971008830,
515,1751956885,
516,1259218128,
517,5813010405,
518,2374868852,
519,977762672,
520,855043038,
521,821051099,
522,2059239776,
523,2529382530,
524,5813054942,
525,358847551,
526,1629634139,
527,450004562,
528,919850789,
529,693125078,mPN1
530,5813061127,
531,2280668038,
532,1069762110,
533,611029037,
