,Anterior,Medial,Lateral,Descending,Soma,AnteriorMedial,AnteriorLateral,AnteriorSoma,AnteriorDescending,MedialLateral,MedialSoma,MedialDescending,LateralSoma,LateralDescending,SomaDescending,AnteriorMedialLateral,AnteriorMedialSoma,AnteriorMedialDescending,AnteriorLateralSoma,AnteriorLateralDescending,AnteriorSomaDescending,MedialLateralSoma,MedialLateralDescending,MedialSomaDescending,LateralSomaDescending,AnteriorMedialLateralSoma,AnteriorMedialLateralDescending,AnteriorMedialSomaDescending,AnteriorLateralSomaDescending,MedialLateralSomaDescending,AllBranches
MB_CA_L,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_CA_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_LAC_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_LAC_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_ML_L,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_ML_R,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_PED_L,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MB_PED_R,3,7,1,0,2,0,1,0,0,1,1,0,0,0,0,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
MB_VL_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_VL_R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_whole_L,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MB_whole_R,3,10,1,0,1,0,0,0,0,1,2,0,0,0,0,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ME_L,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME_R,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,0,6,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLP_L,4,10,24,0,7,0,3,0,0,8,2,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
PLP_R,20,30,141,0,18,1,16,0,0,5,12,1,1,0,0,12,1,0,4,0,0,5,0,0,0,8,0,0,0,0,0
PRW,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVLP_L,33,17,34,0,9,0,10,0,0,8,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0
PVLP_R,47,31,229,0,17,2,36,0,0,12,13,0,1,0,0,18,1,0,8,0,0,6,0,0,0,11,0,0,0,0,0
SAD,227,19,25,1,5,2,36,0,1,6,6,1,0,0,0,17,1,0,6,0,0,3,0,0,0,9,0,0,0,0,0
SCL_L,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCL_R,1,21,4,0,1,0,0,0,0,1,5,0,0,0,0,9,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0
